strategy,model,pr_auc,recall_at_p90,precision,recall,f1,roc_auc
class_weighted,xgboost,0.8800038893818777,0.8367346938775511,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.9682378578893572
smote,xgboost,0.8774250035438478,0.7959183673469388,0.7310924369747899,0.8877551020408163,0.8018433179723502,0.9791587410850666
smote,random_forest,0.8746876142969218,0.8061224489795918,0.8350515463917526,0.826530612244898,0.8307692307692308,0.9644232605112952
baseline,random_forest,0.8733910547021404,0.8571428571428571,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367
class_weighted,random_forest,0.862939836265611,0.7857142857142857,0.9058823529411765,0.7857142857142857,0.8415300546448088,0.9573108734912085
baseline,xgboost,0.7972912780329893,0.7857142857142857,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.9389517272862999
baseline,logistic_regression,0.7431691767832423,0.21428571428571427,0.8289473684210527,0.6428571428571429,0.7241379310344828,0.9558983554029378
smote,logistic_regression,0.7249139606556327,0.0,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.9698631105509169
class_weighted,logistic_regression,0.7159122424484009,0.0,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.9721687370080279
random_undersampling,random_forest,0.6952856989622043,0.0,0.04231311706629055,0.9183673469387755,0.08089887640449438,0.9776978619951074
random_undersampling,logistic_regression,0.6778359177367467,0.0,0.03842869342442357,0.9183673469387755,0.07377049180327869,0.975947086065715
random_undersampling,xgboost,0.37496430045845025,0.0,0.033345683586513526,0.9183673469387755,0.06435466571326422,0.9748625076085583
unsupervised,isolation_forest,0.21797227754191925,0.0,0.308411214953271,0.336734693877551,0.32195121951219513,0.9543364475784686
